W	E1	E2
3856.67	3.07537	0.000200959
3861.41	3.0751	0.000200955
3866.16	3.07434	0.000200951
3870.9	3.07427	0.000200946
3875.64	3.07458	0.000200941
3880.39	3.07507	0.000200936
3885.13	3.07615	0.00020093
3889.87	3.0769	0.000200925
3894.61	3.07707	0.000200919
3899.36	3.07688	0.000200913
3904.1	3.07689	0.000200907
3908.84	3.07686	0.0002009
3913.59	3.07702	0.000200894
3918.33	3.07743	0.000200887
3923.07	3.07767	0.00020088
3927.81	3.07767	0.000200873
3932.56	3.07763	0.000200865
3937.3	3.07777	0.000200857
3942.04	3.07798	0.000200849
3946.78	3.07822	0.000200841
3951.53	3.07852	0.000200833
3956.27	3.07881	0.000200824
3961.01	3.07914	0.000200815
3965.76	3.0794	0.000200806
3970.5	3.07951	0.000200797
3975.24	3.07955	0.000200788
3979.98	3.07977	0.000200778
3984.73	3.08011	0.000200768
3989.47	3.08036	0.000200758
3994.21	3.08055	0.000200748
3998.95	3.08078	0.000200737
4003.7	3.08111	0.000200727
4008.44	3.08139	0.000200716
4013.18	3.08154	0.000200705
4017.93	3.0816	0.000200693
4022.67	3.08181	0.000200682
4027.41	3.08211	0.00020067
4032.15	3.08239	0.000200658
4036.9	3.0827	0.000200646
4041.64	3.08296	0.000200633
4046.38	3.08319	0.000200621
4051.13	3.0834	0.000200608
4055.87	3.08359	0.000200595
4060.61	3.08374	0.000200582
4065.35	3.08398	0.000200568
4070.1	3.0843	0.000200555
4074.84	3.08454	0.000200541
4079.58	3.08469	0.000200527
4084.32	3.08486	0.000200513
4089.07	3.08511	0.000200498
4093.81	3.08541	0.000200484
4098.55	3.0856	0.000200469
4103.3	3.08569	0.000200454
4108.04	3.08589	0.000200438
4112.78	3.08618	0.000200423
4117.52	3.08645	0.000200407
4122.27	3.08673	0.000200391
4127.01	3.08699	0.000200375
4131.75	3.08718	0.000200359
4136.5	3.08732	0.000200343
4141.24	3.08756	0.000200326
4145.98	3.08791	0.000200309
4150.72	3.08818	0.000200292
4155.47	3.08838	0.000200275
4160.21	3.08859	0.000200258
4164.95	3.08878	0.00020024
4169.69	3.08898	0.000200222
4174.44	3.08922	0.000200204
4179.18	3.08951	0.000200186
4183.92	3.08972	0.000200167
4188.67	3.08985	0.000200149
4193.41	3.09003	0.00020013
4198.15	3.09025	0.000200111
4202.89	3.09048	0.000200092
4207.64	3.09072	0.000200073
4212.38	3.09097	0.000200053
4217.12	3.09119	0.000200033
4221.86	3.0914	0.000200013
4226.61	3.09165	0.000199993
4231.35	3.09201	0.000199973
4236.09	3.09228	0.000199952
4240.84	3.09243	0.000199932
4245.58	3.09251	0.000199911
4250.32	3.09274	0.00019989
4255.06	3.09305	0.000199868
4259.81	3.0933	0.000199847
4264.55	3.09352	0.000199825
4269.29	3.09375	0.000199803
4274.04	3.09399	0.000199781
4278.78	3.09422	0.000199759
4283.52	3.09445	0.000199737
4288.26	3.09467	0.000199714
4293.01	3.09489	0.000199691
4297.75	3.0951	0.000199668
4302.49	3.09532	0.000199645
4307.23	3.09553	0.000199622
4311.98	3.09575	0.000199599
4316.72	3.09596	0.000199575
4321.46	3.09617	0.000199551
4326.21	3.09639	0.000199527
4330.95	3.09664	0.000199503
4335.69	3.09685	0.000199478
4340.43	3.09704	0.000199454
4345.18	3.09727	0.000199429
4349.92	3.09754	0.000199404
4354.66	3.09779	0.000199379
4359.41	3.09801	0.000199354
4364.15	3.09822	0.000199328
4368.89	3.09846	0.000199303
4373.63	3.09874	0.000199277
4378.38	3.09897	0.000199251
