W S1
8763.81 1179.56
8776.73 1179.22
8789.66 1198.47
8802.59 1200.55
8815.51 1228.13
8828.44 1243.29
8841.36 1270.88
8854.29 1283.05
8867.22 1290.22
8880.14 1324.36
8893.07 1322.26
8905.99 1350.28
8918.92 1348.71
8931.84 1395.02
8944.77 1387.47
8957.7 1401.79
8970.62 1425.85
8983.55 1443.55
8996.47 1460.43
9009.4 1472.57
9022.33 1521.63
9035.25 1565.67
9048.18 1589.9
9061.1 1609.8
9074.03 1605.72
9086.96 1634.2
9099.88 1693.27
9112.81 1706.05
9125.73 1664.55
9138.66 1756.41
9151.59 1755.57
9164.51 1777.17
9177.44 1809.73
9190.36 1830.77
9203.29 1864.43
9216.22 1897.55
9229.14 1873.06
9242.07 1930.19
9254.99 1971.65
9267.92 2002.59
9280.85 1978.48
9293.77 1996.91
9306.7 2052.44
9319.62 2101.68
9332.55 2109.09
9345.48 2130.06
9358.4 2141.01
9371.33 2156.24
9384.25 2152.86
9397.18 2180.64
9410.11 2211.36
9423.03 2213.29
9435.96 2234.32
9448.88 2255.5
9461.81 2256.17
9474.74 2278.95
9487.66 2279.18
9500.59 2297.43
9513.51 2302.91
9526.44 2315.67
9539.37 2309.37
9552.29 2320.68
9565.22 2331.39
9578.14 2352.16
9591.07 2330.24
9604 2336.9
9616.92 2323.8
9629.85 2333.53
9642.77 2333.09
9655.7 2346.57
9668.63 2315.67
9681.55 2341.14
9694.48 2325.51
9707.4 2314.43
9720.33 2341.84
9733.25 2309.81
9746.18 2338.87
9759.11 2308.7
9772.03 2343.45
9784.96 2314.29
9797.88 2260.71
9810.81 2290.52
9823.74 2229.47
9836.66 2253.59
9849.59 2264.82
9862.51 2182.62
9875.44 2163.75
9888.37 2201.95
9901.29 2108.43
9914.22 2063.12
9927.14 1965.98
9940.07 2139.66
9953 2099.06
9965.92 1999.38
9978.85 2006.94
9991.77 1985.79
10004.7 2088.21
10017.6 1958.71
10030.6 1895.34
10043.5 2289.82
10056.4 1878.32
10069.3 1995.55
10082.3 1935.04
10095.2 1543.38
10108.1 1399.64
10121 1079.17
10134 368.331
10146.9 977.582
10159.8 1543.3
10172.7 601.871
10185.7 2282.27
10198.6 -154.07
10211.5 212.312
10224.4 944.233
10237.4 3385.37
10250.3 2415.13
10263.2 2522.25
10276.1 310.132
10289.1 -662.301
10302 4339.18
10314.9 8135.13
10327.8 4236.32
10340.8 1679.06
10353.7 -196.969
10366.6 6425.13
10379.6 -1488.73
10392.5 1970.95
10405.4 3166.33
10418.3 2331.71
10431.3 208.677
10444.2 3483.94
10457.1 2279.07
10470 1201.01
10483 -117.892
10495.9 3733.13
10508.8 9154.66
10521.7 -4555.96
10534.7 6294.47
10547.6 4198.32
10560.5 4359.98
10573.4 9491.46
10586.4 326.948
10599.3 2949.01
10612.2 700.023
10625.1 -321.112
10638.1 -696.763
10651 1534.18
10663.9 -910.616
10676.9 -3788.77
10689.8 4649.82
10702.7 2427.25
10715.6 -4645.2
10728.6 -2705.76
10741.5 1708.47
10754.4 -477.781
10767.3 -631.971
10780.3 2357.56
10793.2 3087.34
10806.1 -908.429
10819 870.365
10832 -868.655
10844.9 4352.51
10857.8 6426.58
10870.7 3752.47
10883.7 4251.95
10896.6 2599.3
10909.5 179.837
10922.4 -3111.02
10935.4 -714.215
10948.3 -33.2642
10961.2 2919.56
10974.1 -2426.9
10987.1 1016.91
11000 1732.91
