W E1 E2
4744.77 3.1155 0.00642034
4750.8 3.11581 0.00635334
4756.83 3.11607 0.00634144
4762.86 3.11625 0.00629807
4768.89 3.11643 0.00622254
4774.92 3.11658 0.00606636
4780.95 3.11682 0.00587602
4786.98 3.11711 0.00569888
4793.01 3.11751 0.00555204
4799.04 3.11782 0.00562228
4805.06 3.11793 0.00561797
4811.09 3.11813 0.00545918
4817.12 3.1184 0.00533267
4823.15 3.11867 0.00523441
4829.18 3.11895 0.00521034
4835.21 3.11911 0.0052122
4841.24 3.11924 0.00502944
4847.27 3.11952 0.00485442
4853.3 3.11979 0.00477471
4859.32 3.12005 0.00469835
4865.35 3.12028 0.00462779
4871.38 3.12049 0.00452842
4877.41 3.12076 0.00440749
4883.44 3.12106 0.00439224
4889.47 3.12123 0.00440684
4895.5 3.12138 0.0042865
4901.53 3.12157 0.00416065
4907.56 3.12181 0.00401909
4913.59 3.12212 0.00393384
4919.61 3.12233 0.003932
4925.64 3.12245 0.00381715
4931.67 3.12271 0.00363027
4937.7 3.12304 0.0035892
4943.73 3.12325 0.00357892
4949.76 3.12345 0.00351069
4955.79 3.12364 0.00343503
4961.82 3.12385 0.00333505
4967.85 3.12408 0.00323749
4973.87 3.12432 0.00314301
4979.9 3.12461 0.00311397
4985.93 3.12481 0.00312027
4991.96 3.12497 0.00308255
4997.99 3.1251 0.00303134
5004.02 3.12525 0.00289125
5010.05 3.12545 0.00274621
5016.08 3.12571 0.00258797
5022.11 3.12608 0.0025433
5028.14 3.12629 0.00262143
5034.16 3.12638 0.00255767
5040.19 3.12658 0.00242963
5046.22 3.12682 0.00239047
5052.25 3.12699 0.0023544
5058.28 3.12718 0.00225573
5064.31 3.12743 0.00218843
5070.34 3.12762 0.00219048
5076.37 3.12774 0.00212932
5082.4 3.12792 0.00200962
5088.42 3.12816 0.00195076
5094.45 3.12835 0.00191476
5100.48 3.12852 0.00186623
5106.51 3.12865 0.00180388
5112.54 3.12883 0.00166355
5118.57 3.12912 0.00158292
5124.6 3.12932 0.00161307
5130.63 3.12942 0.00157896
5136.66 3.12957 0.00149391
5142.68 3.12973 0.00136689
5148.71 3.13 0.00122704
5154.74 3.13026 0.00133035
5160.77 3.13024 0.00137591
5166.8 3.13034 0.00113016
5172.83 3.13065 0.000975132
5178.86 3.1309 0.0009627
5184.89 3.1311 0.000959331
5190.92 3.13128 0.000962094
5196.95 3.13142 0.000966765
5202.97 3.13151 0.000970367
5209 3.1316 0.000848056
5215.03 3.1318 0.000748204
5221.06 3.13197 0.000728039
5227.09 3.13211 0.00070481
5233.12 3.13222 0.000677478
5239.15 3.1323 0.00059775
5245.18 3.13245 0.00048795
5251.21 3.13263 0.000456468
5257.23 3.13273 0.000437044
5263.26 3.13283 0.00037035
5269.29 3.13296 0.000314656
5275.32 3.13305 0.000290491
5281.35 3.13307 0.000206017
5287.38 3.13318 5.25122e-05
5293.41 3.13336 1.86072e-05
5299.44 3.13342 4.25465e-05
5305.47 3.13339 -1.43427e-05
5311.5 3.1333 -0.000100294
5317.52 3.13326 -0.000371667
5323.55 3.13328 -0.000679881
5329.58 3.13347 -0.0010752
5335.61 3.13395 -0.00118509
5341.64 3.13404 -0.0010152
5347.67 3.13384 -0.00120012
5353.7 3.13392 -0.00152802
5359.73 3.13408 -0.00173945
5365.76 3.13423 -0.00193481
5371.78 3.13436 -0.00208931
5377.81 3.13448 -0.00220714
5383.84 3.13442 -0.00225249
5389.87 3.13399 -0.00275598
5395.9 3.13418 -0.0036439
5401.93 3.13478 -0.00420836
5407.96 3.13542 -0.00466583
5413.99 3.13614 -0.00475504
5420.02 3.13696 -0.00470496
5426.05 3.1373 -0.0040381
5432.07 3.13678 -0.00379977
