W E1 E2
3002.49 3.03099 0.0563335
3008.52 3.0315 0.0565806
3014.55 3.03189 0.0565771
3020.58 3.03258 0.0565595
3026.61 3.03314 0.0569865
3032.64 3.03328 0.0572854
3038.66 3.03359 0.0572356
3044.69 3.03411 0.057335
3050.72 3.03445 0.0575983
3056.75 3.03464 0.0577684
3062.78 3.03484 0.0578955
3068.81 3.03499 0.0579653
3074.84 3.03508 0.0580109
3080.87 3.03521 0.0579003
3086.9 3.03547 0.0578437
3092.93 3.0356 0.0579088
3098.95 3.03555 0.0578569
3104.98 3.03553 0.0576948
3111.01 3.03545 0.057288
3117.04 3.03569 0.0567875
3123.07 3.03598 0.0566923
3129.1 3.03572 0.0565165
3135.13 3.03571 0.0556507
3141.16 3.03611 0.0548698
3147.19 3.03655 0.054249
3153.21 3.03704 0.053621
3159.24 3.03764 0.0529871
3165.27 3.03837 0.0525543
3171.3 3.03893 0.0521844
3177.33 3.03953 0.0515495
3183.36 3.04051 0.0509833
3189.39 3.04144 0.0507757
3195.42 3.04231 0.0505944
3201.45 3.04316 0.050455
3207.47 3.04406 0.0503248
3213.5 3.04515 0.0502009
3219.53 3.04644 0.0508713
3225.56 3.04701 0.0517399
3231.59 3.04716 0.0525808
3237.62 3.04647 0.0531218
3243.65 3.04627 0.0525719
3249.68 3.04666 0.0522338
3255.71 3.04692 0.0521838
3261.73 3.04708 0.0520504
3267.76 3.04727 0.0518684
3273.79 3.04748 0.0515981
3279.82 3.04782 0.0513151
3285.85 3.0482 0.0511181
3291.88 3.04869 0.0509853
3297.91 3.04906 0.0510407
3303.94 3.04938 0.0511818
3309.97 3.04945 0.0514226
3315.99 3.04927 0.0516978
3322.02 3.04849 0.05199
3328.05 3.04738 0.0506288
3334.08 3.04774 0.0491225
3340.11 3.04815 0.0485346
3346.14 3.04811 0.0477436
3352.17 3.04849 0.0464623
3358.2 3.04935 0.0453811
3364.23 3.05026 0.0444996
3370.25 3.05136 0.0437545
3376.28 3.05277 0.0430657
3382.31 3.0542 0.0436941
3388.34 3.0542 0.0442678
3394.37 3.05438 0.0436027
3400.4 3.05515 0.0431061
3406.43 3.05574 0.0429492
3412.46 3.0561 0.0425943
3418.49 3.05666 0.0420704
3424.51 3.05733 0.0415193
3430.54 3.05816 0.0409589
3436.57 3.0591 0.0405827
