W E2
4821.65 0.190407
4827.61 0.1924
4833.56 0.194403
4839.52 0.196418
4845.47 0.198444
4851.43 0.20048
4857.38 0.202528
4863.34 0.204588
4869.3 0.206658
4875.25 0.208739
4881.21 0.210832
4887.16 0.212936
4893.12 0.215051
4899.07 0.217178
4905.03 0.219315
4910.99 0.221465
4916.94 0.223625
4922.9 0.225797
4928.85 0.22798
4934.81 0.230174
4940.76 0.23238
4946.72 0.234597
4952.68 0.236826
4958.63 0.239066
4964.59 0.241317
4970.54 0.24358
4976.5 0.245855
4982.45 0.248141
4988.41 0.250439
4994.37 0.252748
5000.32 0.255069
5006.28 0.257401
5012.23 0.259746
5018.19 0.262101
5024.14 0.264469
5030.1 0.266848
5036.06 0.269239
5042.01 0.271642
5047.97 0.274056
5053.92 0.276482
5059.88 0.27892
5065.84 0.28137
5071.79 0.283832
5077.75 0.286306
5083.7 0.288791
5089.66 0.291289
5095.61 0.293798
5101.57 0.29632
5107.53 0.298853
5113.48 0.301399
5119.44 0.303956
5125.39 0.306526
5131.35 0.309108
5137.3 0.311702
5143.26 0.314308
5149.22 0.316926
5155.17 0.319557
5161.13 0.3222
5167.08 0.324855
5173.04 0.327522
5178.99 0.330202
5184.95 0.332894
5190.91 0.335598
5196.86 0.338315
5202.82 0.341044
5208.77 0.343786
5214.73 0.34654
5220.68 0.349307
5226.64 0.352086
5232.6 0.354878
5238.55 0.357682
5244.51 0.360499
5250.46 0.363329
5256.42 0.366172
5262.37 0.369027
5268.33 0.371895
5274.29 0.374776
5280.24 0.377669
5286.2 0.380576
5292.15 0.383495
5298.11 0.386427
5304.06 0.389372
5310.02 0.39233
5315.98 0.395301
5321.93 0.398285
5327.89 0.401283
5333.84 0.404293
5339.8 0.407316
5345.75 0.410353
5351.71 0.413403
5357.67 0.416466
5363.62 0.419542
5369.58 0.422631
5375.53 0.425734
5381.49 0.428851
5387.44 0.43198
5393.4 0.435123
5399.36 0.43828
5405.31 0.44145
5411.27 0.444633
5417.22 0.447831
5423.18 0.451041
5429.13 0.454266
5435.09 0.457504
5441.05 0.460755
5447 0.464021
5452.96 0.4673
5458.91 0.470593
5464.87 0.4739
5470.82 0.477221
5476.78 0.480556
5482.74 0.483904
5488.69 0.487267
5494.65 0.490644
5500.6 0.494035
5506.56 0.49744
5512.52 0.500859
5518.47 0.504292
5524.43 0.50774
5530.38 0.511201
5536.34 0.514678
5542.29 0.518168
5548.25 0.521673
5554.21 0.525192
5560.16 0.528726
5566.12 0.532274
5572.07 0.535837
5578.03 0.539414
5583.98 0.543006
5589.94 0.546613
5595.9 0.550234
5601.85 0.55387
5607.81 0.557521
5613.76 0.561187
5619.72 0.564867
5625.67 0.568563
5631.63 0.572273
5637.59 0.575998
5643.54 0.579739
5649.5 0.583494
5655.45 0.587265
5661.41 0.591051
5667.36 0.594852
5673.32 0.598668
5679.28 0.6025
5685.23 0.606347
5691.19 0.610209
5697.14 0.614087
5703.1 0.61798
5709.05 0.621889
5715.01 0.625813
5720.97 0.629753
5726.92 0.633709
5732.88 0.63768
5738.83 0.641667
5744.79 0.64567
5750.74 0.649689
5756.7 0.653723
5762.66 0.657774
5768.61 0.66184
5774.57 0.665923
5780.52 0.670021
5786.48 0.674136
5792.43 0.678267
5798.39 0.682414
5804.35 0.686577
5810.3 0.690757
5816.26 0.694953
5822.21 0.699165
5828.17 0.703394
5834.12 0.70764
5840.08 0.711902
5846.04 0.71618
5851.99 0.720475
5857.95 0.724787
5863.9 0.729116
5869.86 0.733461
5875.81 0.737824
5881.77 0.742203
5887.73 0.746599
5893.68 0.751012
5899.64 0.755443
5905.59 0.75989
5911.55 0.764355
5917.51 0.768836
5923.46 0.773335
5929.42 0.777852
5935.37 0.782385
5941.33 0.786937
5947.28 0.791505
5953.24 0.796091
5959.2 0.800695
5965.15 0.805317
5971.11 0.809956
5977.06 0.814612
5983.02 0.819287
5988.97 0.82398
5994.93 0.82869
6000.89 0.833418
6006.84 0.838165
6012.8 0.842929
6018.75 0.847712
6024.71 0.852513
6030.66 0.857332
6036.62 0.862169
6042.58 0.867025
6048.53 0.871899
6054.49 0.876791
6060.44 0.881702
6066.4 0.886632
6072.35 0.89158
6078.31 0.896547
6084.27 0.901533
6090.22 0.906538
6096.18 0.911561
6102.13 0.916603
6108.09 0.921665
6114.04 0.926745
6120 0.931845
6125.96 0.936963
6131.91 0.942101
6137.87 0.947258
6143.82 0.952435
6149.78 0.957631
6155.73 0.962846
6161.69 0.968081
6167.65 0.973335
6173.6 0.978609
6179.56 0.983903
6185.51 0.989217
6191.47 0.99455
6197.42 0.999903
6203.38 1.00528
6209.34 1.01067
6215.29 1.01608
6221.25 1.02152
6227.2 1.02697
6233.16 1.03244
6239.11 1.03794
6245.07 1.04345
6251.03 1.04899
6256.98 1.05454
6262.94 1.06012
6268.89 1.06572
6274.85 1.07133
6280.8 1.07697
6286.76 1.08263
6292.72 1.08831
6298.67 1.09401
6304.63 1.09973
6310.58 1.10548
6316.54 1.11124
6322.49 1.11703
6328.45 1.12283
6334.41 1.12866
6340.36 1.13451
6346.32 1.14038
6352.27 1.14627
6358.23 1.15219
6364.19 1.15812
6370.14 1.16408
6376.1 1.17006
6382.05 1.17606
6388.01 1.18208
6393.96 1.18813
6399.92 1.19419
6405.88 1.20028
6411.83 1.2064
6417.79 1.21253
6423.74 1.21869
6429.7 1.22486
6435.65 1.23106
